"freq,species,fishreg,unit,geo\TIME_PERIOD",2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
"A,F00,0,TLW,AL",: ,8495 ,8854 ,8591 ,7549 ,7540 ,8255 ,8597 ,8730 ,7809 ,9842 ,: 
"A,F00,0,TLW,BE",22190.6 ,24371.2 ,25377.4 ,26508.6 ,24462.5 ,26860 ,24366.3 ,22721.5 ,21061.2 ,19647.9 ,17885.2 ,18441.5 
"A,F00,0,TLW,BG",8956.31 ,8153.25 ,9534.543 ,8564.9 ,8746.6 ,8562.442 ,8506.8 e,8544.091 ,10268.6267 ,6228.9538 e,8919.0787 ,5546.517 
"A,F00,0,TLW,CY",1162.9 ,1297.1707 ,1165.6 ,1248.6916 ,1475.25 ,1481.8 ,1736.413 ,1469.953 ,1480.133 ,1245.862 ,1381.337 ,1248.7111 
"A,F00,0,TLW,DE",217704.93 ,205384.491 ,219000.5 ,216165.865 ,251268.441 ,240569.716 ,229405.8 p,261218.673 ,207225 ,195149.1531 ,157144 ,161845 
"A,F00,0,TLW,DK",716231.59 ,502631.63 ,668338.23 ,745019.28 ,868890.1 ,670212.83 ,: c,: c,: c,732665.13 ,466319.59 p,458549.16 p
"A,F00,0,TLW,EE",78631.852 ,63714.0422 ,66763.4875 ,66103.393 ,70753.2954 ,72816.524 ,79647.376 ,83677.776 ,83625.6623 d,70427.2081 ,69361.7375 ,71135.2227 
"A,F00,0,TLW,EL",62847.36 ,60725.53 ,63638.21 ,60318.83 ,64431.321 ,: c,: c,: c,82232.46 ,70535.9 ,58692.05 ,65494.83 
"A,F00,0,TLW,ES",798558.55 ,757827.64 ,904125.82 ,1108830.4 ,901511.86 ,859744.9454 ,902162.69 ,879961.324 ,837216.344 ,748294.9927 ,751892.0932 ,752293.781 
"A,F00,0,TLW,EU27_2020",4238087.2818 ,3793349.9797 ,4211398.5738 ,4630703.7163 ,4443772.7444 ,: c,: c,: c,: c,: c,: c,: c
"A,F00,0,TLW,FI",124827.45 ,138068.87 ,144297 ,153487.755 ,153394.494 ,164833.422 e,162016.73 e,151772.361 ,139263.147 ,116371.431 p,101391.0084 p,92289.637 
"A,F00,0,TLW,FR",486847.7 ,461196.38 ,528731.84 ,543525.28 ,497435.05 ,524828.255 ,529340.152 ,587524.891 p,525121.703 p,458544.542 p,482930.63 p,516516.043 
"A,F00,0,TLW,HR",70534.02 ,63599.02 ,75267.231 ,79944.5442 ,73487.6321 ,72865.3443 ,69561.05 ,70068.3 ,64019.9247 ,71222.5545 ,62039.2585 ,63492.571 
"A,F00,0,TLW,IE",206177.329 ,275916.799 ,246240.0835 ,276847.164 ,234772.0764 ,230272.6223 ,246759.52 e,: c,: c,: c,: c,: c
"A,F00,0,TLW,IS",1148993.689 e,1448544 e,1362887 e,1076883 e,1317156 e,1069488 e,1176538 p,1259169 p,1048179.262 p,1021254 ,: ,: 
"A,F00,0,TLW,IT",212729.6 ,195996.2 ,172906.5 ,177018.6 ,191633.7 ,192602.6 ,192202.6 ,201938.4 p,180736.5 p,136771.4934 p,145769.6 ,132940.3 
"A,F00,0,TLW,LT",137084.996 ,70195.042 ,74802.811 ,148842.76 ,72432.131 ,105738.739 ,72144.93 ,63262.085 ,100691.191 ,89571.684 ,86138.477 ,73462.093 
"A,F00,0,TLW,LV",156130.15 ,89501.11 ,115759.26 ,119293.15 ,81304.53 ,114654.78 ,: c,: c,: c,: c,: c,: c
"A,F00,0,TLW,MT",1919.86 ,2203.8588 ,2354.9428 ,2402.551 ,2535.677 ,3556.089 ,2223.05 ,2544.971 ,2229.732 ,1844.473 ,2309.282 ,2537.431 
"A,F00,0,TLW,NL",364953 ,345244 ,324370 ,375441.3 ,364989.9 ,368349.3 ,361841.17 ,411966.01 ,319036.103 ,308234.568 ,295116.184 ,298297.694 
"A,F00,0,TLW,NO",2178091.631 ,2046923.6781 ,1943911.719 ,2134963.889 ,2146073.755 ,1862478.16 ,2221036.16 ,2288408.6 ,2078732.01 ,2205327.52 p,2167957.42 p,2327180.89 
"A,F00,0,TLW,PL",175606.3773 ,179694.4076 ,195477.1454 ,169574.3627 ,187051.1325 ,196927.5859 ,207139.47 ,195621.719 ,181087.9312 ,187236.9797 ,155076.5301 ,128425.289 
"A,F00,0,TLW,PT",213905.1375 ,196552.9634 ,194609.6386 ,177231.0406 ,185217.033 ,180691.076 ,173600.62 ,174897.698 ,183972.1945 ,158771.9582 ,177763.04 ,: c
"A,F00,0,TLW,RO",537.2 ,810.7 ,1617.401 ,2199.519 ,4842.568 ,7173.996 ,9553.18 e,7745.01 ,7149.373 ,4462.88 ,3127.16 ,3175.64 
"A,F00,0,TLW,SE",179836.3 ,150119.3 ,176788.6 ,171889.2 ,202946.2531 ,197972.8651 ,221822.78 ,214970.291 ,178136.8739 ,171122.8607 ,153405.7071 ,139037.149 
"A,F00,0,TLW,SI",714.07 ,323.54 ,232.33 ,246.53 ,191.2 ,146.1 ,123.6 ,121.5 ,120.3771 ,154.9475 ,106.4377 ,108.3428 
"A,F00,0,TLW,TR",477658.4 ,396322 ,339046.9 ,266077.6 ,397730.7 ,301463.6 ,322172.5 ,283954.8 ,431571.7 ,331280.8 ,295018 ,: 
"A,F00,0,TLW,UK",594599.7 ,626486.9 ,617591.7292 ,751979.0453 ,701769.1186 ,699841.7461 ,722725.243 ,696991.872 ,617298.3467 ,: ,: ,: 
